filename-1,filename-2,similarity,title-1,year-1,month-1,day-1,title-2,year-2,month-2,day-2,topic_1,year_1,month_1,day_1,topic_2,year_2,month_2,day_2
2023-07-03_3468.txt,2023-07-03_3469.txt,0.3085252897084261,Photos: Israel’s deadly air raids on Jenin refugee camp,2023,7,3,Nine Palestinians killed as Israel attacks Jenin refugee camp,2023,7,3,0,2023.0,7.0,3.0,0,2023.0,7.0,3.0
2022-09-28_3930.txt,2022-12-12_3848.txt,0.3085772740475304,"Israeli forces kill four Palestinians, wound dozens in Jenin raid",2022,9,28,Israeli forces kill Palestinian teen in occupied West Bank raid,2022,12,12,0,2022.0,9.0,28.0,0,2022.0,12.0,12.0
2023-02-04_3744.txt,2023-07-25_3403.txt,0.3086425361418631,Palestinians wounded after Israeli forces raid camp in West Bank,2023,2,4,Three Palestinians killed by Israeli forces in occupied West Bank,2023,7,25,0,2023.0,2.0,4.0,0,2023.0,7.0,25.0
2022-10-21_3903.txt,2023-01-05_3808.txt,0.3092143028142253,Israeli forces kill Palestinian teen in Jenin raid,2022,10,21,Israeli forces kill 16-year-old Palestinian in Nablus,2023,1,5,0,2022.0,10.0,21.0,0,2023.0,1.0,5.0
2022-10-07_3920.txt,2022-10-11_3915.txt,0.3093004709011284,Israeli forces kill two Palestinian teens in occupied West Bank,2022,10,7,Palestinian fighters kill Israeli soldier in occupied West Bank,2022,10,11,0,2022.0,10.0,7.0,0,2022.0,10.0,11.0
2023-01-12_3796.txt,2023-01-19_3788.txt,0.3093217981099619,Israel kills 3 Palestinians as raids continue in West Bank,2023,1,12,Teacher among two Palestinians killed by Israeli forces in Jenin,2023,1,19,0,2023.0,1.0,12.0,0,2023.0,1.0,19.0
2022-10-28_3897.txt,2023-01-03_3815.txt,0.3094545031813431,Israeli forces kill two Palestinians in occupied Nablus,2022,10,28,Israeli forces kill Palestinian teenager in Bethlehem,2023,1,3,0,2022.0,10.0,28.0,0,2023.0,1.0,3.0
2023-01-12_3796.txt,2023-05-22_3547.txt,0.3096581425401459,Israel kills 3 Palestinians as raids continue in West Bank,2023,1,12,Three Palestinians killed by Israeli forces in raid on Nablus,2023,5,22,0,2023.0,1.0,12.0,0,2023.0,5.0,22.0
2023-01-28_3769.txt,2023-01-29_3764.txt,0.3100475413861365,Two Israelis wounded in occupied East Jerusalem shooting,2023,1,28,Israeli guards kill Palestinian near West Bank settlement,2023,1,29,0,2023.0,1.0,28.0,0,2023.0,1.0,29.0
2022-06-01_4105.txt,2022-10-14_3911.txt,0.3104018245672352,Israeli forces kill Palestinian woman in occupied West Bank,2022,6,1,Two Palestinians killed by Israeli forces in Jenin,2022,10,14,0,2022.0,6.0,1.0,0,2022.0,10.0,14.0
2023-08-11_3382.txt,2023-08-15_3379.txt,0.3112704602854733,"Israeli forces kill Palestinian, wound eight, in occupied West Bank raid",2023,8,11,Israeli forces kill 2 Palestinians in raid on occupied West Bank,2023,8,15,0,2023.0,8.0,11.0,0,2023.0,8.0,15.0
2021-10-13_4349.txt,2023-11-26_2085.txt,0.3113610117861968,Palestine olive harvest: Campaign begins to protect farmers,2021,10,13,Israeli settlers steal Palestinian farmers’ land in occupied West Bank,2023,11,26,0,2021.0,10.0,13.0,0,2023.0,11.0,26.0
2023-04-28_3615.txt,2023-06-13_3515.txt,0.3117159224853036,Israeli forces kill teen in the West Bank: Palestinian officials,2023,4,28,Israeli army kills Palestinian in occupied West Bank raid,2023,6,13,0,2023.0,4.0,28.0,0,2023.0,6.0,13.0
2023-07-26_3400.txt,2023-11-26_2084.txt,0.3118911282993462,Palestinian teen killed by Israeli forces in occupied West Bank,2023,7,26,Israeli forces carry out deadly raids in the West Bank amid Gaza truce,2023,11,26,0,2023.0,7.0,26.0,0,2023.0,11.0,26.0
2021-06-11_4505.txt,2021-07-09_4454.txt,0.3121028217722555,Israel forces kill Palestinian teen at occupied West Bank protest,2021,6,11,Israeli forces open fire on Palestinians; hundreds wounded,2021,7,9,0,2021.0,6.0,11.0,0,2021.0,7.0,9.0
2022-09-28_3930.txt,2023-01-02_3818.txt,0.3123217398379725,"Israeli forces kill four Palestinians, wound dozens in Jenin raid",2022,9,28,Israeli forces kill two Palestinian men in occupied West Bank,2023,1,2,0,2022.0,9.0,28.0,0,2023.0,1.0,2.0
2023-12-25_1613.txt,2023-12-28_1577.txt,0.3126321594804936,Israel hits Bethlehem in Christmas raids on occupied West Bank,2023,12,25,"‘Unparalleled’: Israeli army raids Ramallah, more occupied West Bank cities",2023,12,28,0,2023.0,12.0,25.0,0,2023.0,12.0,28.0
2022-05-25_4121.txt,2022-12-12_3848.txt,0.312991131011226,Israeli forces kill Palestinian teenager in occupied West Bank,2022,5,25,Israeli forces kill Palestinian teen in occupied West Bank raid,2022,12,12,0,2022.0,5.0,25.0,0,2022.0,12.0,12.0
2022-06-29_4073.txt,2023-01-16_3793.txt,0.3131702551746094,Israeli forces kill Palestinian fighter in occupied West Bank,2022,6,29,Israeli army kills Palestinian boy in the occupied West Bank,2023,1,16,0,2022.0,6.0,29.0,0,2023.0,1.0,16.0
2023-11-06_2546.txt,2024-02-13_1098.txt,0.3133189339051335,"Who are Israeli settlers, and why do they live on Palestinian lands?",2023,11,6,France sanctions 28 Israeli settlers over West Bank violence,2024,2,13,0,2023.0,11.0,6.0,0,2024.0,2.0,13.0
2022-09-15_3946.txt,2023-01-12_3796.txt,0.3133431999184864,Israeli forces kill Palestinian teenager in occupied West Bank,2022,9,15,Israel kills 3 Palestinians as raids continue in West Bank,2023,1,12,0,2022.0,9.0,15.0,0,2023.0,1.0,12.0
2022-09-05_3967.txt,2023-08-04_3390.txt,0.3135684935051643,Israeli forces kill Palestinian teenager in occupied West Bank,2022,9,5,"Two Palestinians killed by Israeli army, settlers in West Bank violence",2023,8,4,0,2022.0,9.0,5.0,0,2023.0,8.0,4.0
2022-09-07_3953.txt,2022-11-14_3878.txt,0.3138123058240527,Israeli forces kill Palestinian in latest occupied West Bank raid,2022,9,7,Israeli army kills Palestinian teenager in occupied West Bank,2022,11,14,0,2022.0,9.0,7.0,0,2022.0,11.0,14.0
2022-05-12_4185.txt,2022-06-29_4073.txt,0.3140679219363132,Timeline: Israeli attacks in the occupied West Bank,2022,5,12,Israeli forces kill Palestinian fighter in occupied West Bank,2022,6,29,0,2022.0,5.0,12.0,0,2022.0,6.0,29.0
2022-09-15_3946.txt,2023-07-21_3407.txt,0.3145250323231469,Israeli forces kill Palestinian teenager in occupied West Bank,2022,9,15,Israeli forces kill two Palestinian teens in occupied West Bank,2023,7,21,0,2022.0,9.0,15.0,0,2023.0,7.0,21.0
2023-05-06_3598.txt,2023-08-04_3390.txt,0.3150827595725081,Israeli forces kill 2 Palestinians in the occupied West Bank,2023,5,6,"Two Palestinians killed by Israeli army, settlers in West Bank violence",2023,8,4,0,2023.0,5.0,6.0,0,2023.0,8.0,4.0
2022-09-28_3930.txt,2022-10-03_3926.txt,0.3152343646538175,"Israeli forces kill four Palestinians, wound dozens in Jenin raid",2022,9,28,Palestinians killed by Israeli army near Ramallah,2022,10,3,0,2022.0,9.0,28.0,0,2022.0,10.0,3.0
2023-02-28_3703.txt,2023-03-01_3702.txt,0.3158928020293337,Israel releases settlers arrested after anti-Palestinian attacks,2023,2,28,Palestine’s Huwara should be wiped out: Top Israeli minister,2023,3,1,0,2023.0,2.0,28.0,0,2023.0,3.0,1.0
2022-10-14_3911.txt,2023-01-25_3780.txt,0.3164990139699153,Two Palestinians killed by Israeli forces in Jenin,2022,10,14,Israeli forces kill two Palestinians in Jerusalem and West Bank,2023,1,25,0,2022.0,10.0,14.0,0,2023.0,1.0,25.0
