year,month,day,length,title,file,Topic,Count,topic_1,topic_2,topic_3,topic_4,Topic_Name
2023,11,10,203,Tens of thousands flee on foot as UN says north of Gaza is ‘hell on earth’,2023-11-10_2418.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,11,10,203,At least 25 people killed in Israeli attacks on Gaza City school,2023-11-10_2419.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,11,10,203,Israeli bombardments damage more than half of Gaza’s housing units,2023-11-10_2433.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,10,25,204,"Israeli air raids flatten homes, kill dozens at a time in southern Gaza",2023-10-25_2864.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,10,25,204,What has the UN done and said on the Israel-Palestine conflict?,2023-10-25_2853.txt,15,52,resolution,council,un,ceasefire,"resolution, council, un"
2023,10,25,204,What we know about UN draft resolutions on the Israel-Hamas war so far,2023-10-25_2855.txt,15,52,resolution,council,un,ceasefire,"resolution, council, un"
2023,10,25,204,Israel to refuse visas to UN officials after Guterres speech on Gaza war,2023-10-25_2865.txt,15,52,resolution,council,un,ceasefire,"resolution, council, un"
2023,10,25,204,Starvation used as a ‘weapon of war’ in Gaza amid Israeli siege: Oxfam,2023-10-25_2849.txt,35,23,aid,food,famine,gaza,"aid, food, famine"
2023,11,18,207,No end to Palestinian suffering with no end to Israel’s war on Gaza,2023-11-18_2238.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,11,18,207,Israeli air strikes kill 28 Palestinians in southern Gaza,2023-11-18_2248.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,12,2,207,Photos: More deaths and destruction as Israel targets southern Gaza,2023-12-02_1955.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,12,2,207,‘Hell on Earth’ in Gaza: Israel strikes hit Deir el-Balah,2023-12-02_1958.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,10,9,207,"‘Necessary’ to stand with both Israelis, Palestinians, UN rapporteur says",2023-10-09_3281.txt,77,11,rights,human,un,albanese,"rights, human, un"
2023,12,9,212,"Two teenagers killed, 15 detained in Israeli raids in occupied West Bank",2023-12-09_1844.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,12,9,212,‘Double standards’: World reacts to US veto on Gaza truce resolution at UN,2023-12-09_1849.txt,15,52,resolution,council,un,ceasefire,"resolution, council, un"
2023,12,9,212,Can Israel’s agricultural sector recover after the war on Gaza?,2023-12-09_1851.txt,35,23,aid,food,famine,gaza,"aid, food, famine"
2023,10,19,214,Khan Younis homes in southern Gaza levelled by deadly Israeli bombardment,2023-10-19_3007.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,11,23,215,Hamas says 30 killed in Israeli attack on UN school ahead of Gaza truce,2023-11-23_2131.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,11,23,215,Israel steps up attacks on Gaza before truce,2023-11-23_2150.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,11,23,215,"As Israel pounds Gaza, BBC journalists accuse broadcaster of bias",2023-11-23_2149.txt,76,11,journalists,abc,media,coverage,"journalists, abc, media"
2024,4,2,215,"What is World Central Kitchen, whose team was attacked by Israel in Gaza?",2024-04-02_175.txt,35,23,aid,food,famine,gaza,"aid, food, famine"
2024,4,2,215,Israeli strike kills seven World Central Kitchen workers,2024-04-02_177.txt,35,23,aid,food,famine,gaza,"aid, food, famine"
2024,4,2,215,Seven World Central Kitchen workers killed in Gaza: What do we know,2024-04-02_180.txt,35,23,aid,food,famine,gaza,"aid, food, famine"
2024,4,2,215,Watching the watchdogs: Israel’s attacks on journalists are backfiring,2024-04-02_176.txt,76,11,journalists,abc,media,coverage,"journalists, abc, media"
2023,11,7,217,US says does not support Israeli ‘reoccupation’ of Gaza after war,2023-11-07_2502.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2024,2,10,217,"Israel bombs homes in central Gaza, killing several families",2024-02-10_1138.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,12,25,219,Gaza’s Maghazi refugee camp in ruins after deadly Israeli attack,2023-12-25_1604.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,12,25,219,Photos: The staggering human toll of Israel’s war on Gaza,2023-12-25_1614.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,11,30,220,Palestine advocates decry MSNBC’s cancellation of Mehdi Hasan news show,2023-11-30_2000.txt,76,11,journalists,abc,media,coverage,"journalists, abc, media"
2023,11,6,223,Palestinians flee massacre as Israel bombs al-Maghazi refugee camp,2023-11-06_2528.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,11,6,223,"Photos: In Gaza, grieving continues as Israel strikes refugee camps",2023-11-06_2550.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2024,1,3,223,Photos: Ruin and desperation in Gaza as Israeli onslaught continues to rage,2024-01-03_1519.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,12,18,224,Israeli attacks continue as calls for a ceasefire in Gaza grow,2023-12-18_1702.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,11,7,227,US says does not support Israeli ‘reoccupation’ of Gaza after war,2023-11-07_2502.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,11,24,228,Palestinians return to destroyed homes in Gaza as Israel-Hamas truce begins,2023-11-24_2118.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,11,24,228,"Israel pounds Gaza ahead of truce, killing and injuring dozens",2023-11-24_2127.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,10,13,231,Palestinians flee their homes towards southern Gaza after Israeli order,2023-10-13_3152.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,10,13,231,What Gaza infrastructure has been damaged since Israel declared war?,2023-10-13_3161.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,10,13,231,Israel attacks on Gaza refugee camp kills dozens of Palestinians,2023-10-13_3167.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,11,10,231,Tens of thousands flee on foot as UN says north of Gaza is ‘hell on earth’,2023-11-10_2418.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,11,10,231,At least 25 people killed in Israeli attacks on Gaza City school,2023-11-10_2419.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,11,10,231,Israeli bombardments damage more than half of Gaza’s housing units,2023-11-10_2433.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,12,1,231,"Palestinians flee homes, dig in rubble as Israel resumes strikes on Gaza",2023-12-01_1990.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,12,1,231,Israeli air strikes pound Gaza as truce with Hamas ends,2023-12-01_1995.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,12,1,231,Mediators push to renew truce as Israel-Hamas war resumes in Gaza,2023-12-01_1986.txt,15,52,resolution,council,un,ceasefire,"resolution, council, un"
2023,10,13,233,Palestinians flee their homes towards southern Gaza after Israeli order,2023-10-13_3152.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,10,13,233,What Gaza infrastructure has been damaged since Israel declared war?,2023-10-13_3161.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,10,13,233,Israel attacks on Gaza refugee camp kills dozens of Palestinians,2023-10-13_3167.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,12,4,234,"Telecommunications, internet down in Gaza as Israeli strikes intensify",2023-12-04_1930.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
